pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj213,Ferranti Orion Page 14,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_14,,212,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj213/full/250,/0/default.jpg",/img/derivatives/iiif/obj213/manifest.json
obj214,Ferranti Orion Page 15,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_15,,213,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj214/full/250,/0/default.jpg",/img/derivatives/iiif/obj214/manifest.json
obj215,Ferranti Orion Page 16,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_16,,214,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj215/full/250,/0/default.jpg",/img/derivatives/iiif/obj215/manifest.json
obj216,Ferranti Orion Page 17,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_17,,215,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj216/full/250,/0/default.jpg",/img/derivatives/iiif/obj216/manifest.json
obj217,Ferranti Orion Page 18,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_18,,216,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj217/full/250,/0/default.jpg",/img/derivatives/iiif/obj217/manifest.json
obj218,Ferranti Orion Page 19,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_19,,217,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj218/full/250,/0/default.jpg",/img/derivatives/iiif/obj218/manifest.json
obj219,Ferranti Orion Page 20,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_20,,218,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj219/full/250,/0/default.jpg",/img/derivatives/iiif/obj219/manifest.json
obj220,Ferranti Orion Page 21,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_21,,219,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj220/full/250,/0/default.jpg",/img/derivatives/iiif/obj220/manifest.json
obj23,Bendix G15 Page 13,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_13,,22,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg",/img/derivatives/iiif/obj23/manifest.json
obj221,Ferranti Orion Page 22,Ferranti LTD,1960,60s,,brochure,ferranti_orion_1960_Page_22,,220,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj221/full/250,/0/default.jpg",/img/derivatives/iiif/obj221/manifest.json
